GrandPrix,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,26.0,HARD,14.0,23.652866242038222,96.714
Bahrain,27.0,HARD,15.0,23.652866242038222,97.201
Bahrain,28.0,HARD,16.0,23.652866242038222,96.692
Bahrain,29.0,HARD,17.0,23.652866242038222,96.786
Bahrain,30.0,HARD,18.0,23.652866242038222,97.244
Bahrain,31.0,HARD,19.0,23.652866242038222,96.975
Bahrain,32.0,HARD,20.0,23.652866242038222,97.325
Bahrain,33.0,HARD,21.0,23.652866242038222,99.696
Bahrain,34.0,HARD,1.0,23.652866242038222,114.974
Bahrain,35.0,HARD,2.0,23.652866242038222,95.489
Bahrain,36.0,HARD,3.0,23.652866242038222,95.279
Bahrain,37.0,HARD,4.0,23.652866242038222,95.597
Bahrain,38.0,HARD,5.0,23.652866242038222,94.966
Bahrain,39.0,HARD,6.0,23.652866242038222,94.722
Bahrain,40.0,HARD,7.0,23.652866242038222,95.041
Bahrain,41.0,HARD,8.0,23.652866242038222,94.94
Bahrain,42.0,HARD,9.0,23.652866242038222,94.996
Bahrain,43.0,HARD,10.0,23.652866242038222,94.935
Bahrain,44.0,HARD,11.0,23.652866242038222,95.169
Bahrain,45.0,HARD,12.0,23.652866242038222,95.184
Bahrain,46.0,HARD,13.0,23.652866242038222,95.285
Bahrain,47.0,HARD,14.0,23.652866242038222,95.226
Bahrain,48.0,HARD,15.0,23.652866242038222,96.165
Bahrain,49.0,HARD,16.0,23.652866242038222,95.914
Bahrain,50.0,HARD,17.0,23.652866242038222,95.612
Bahrain,51.0,HARD,18.0,23.652866242038222,95.532
Bahrain,52.0,HARD,19.0,23.652866242038222,95.479
Bahrain,53.0,HARD,20.0,23.652866242038222,95.55
Bahrain,54.0,HARD,21.0,23.652866242038222,95.974
Bahrain,55.0,HARD,22.0,23.652866242038222,95.633
Bahrain,56.0,HARD,23.0,23.652866242038222,95.706
Bahrain,57.0,HARD,24.0,23.652866242038222,96.138
Bahrain,2.0,SOFT,5.0,23.652866242038222,98.382
Bahrain,3.0,SOFT,6.0,23.652866242038222,98.258
Bahrain,4.0,SOFT,7.0,23.652866242038222,97.897
Bahrain,5.0,SOFT,8.0,23.652866242038222,97.859
Bahrain,6.0,SOFT,9.0,23.652866242038222,97.955
Bahrain,7.0,SOFT,10.0,23.652866242038222,97.984
Bahrain,8.0,SOFT,11.0,23.652866242038222,97.956
Bahrain,9.0,SOFT,12.0,23.652866242038222,98.096
Bahrain,11.0,SOFT,14.0,23.652866242038222,98.397
Bahrain,12.0,SOFT,15.0,23.652866242038222,100.739
Bahrain,13.0,HARD,1.0,23.652866242038222,118.689
Bahrain,14.0,HARD,2.0,23.652866242038222,96.796
Bahrain,15.0,HARD,3.0,23.652866242038222,96.823
Bahrain,16.0,HARD,4.0,23.652866242038222,96.427
Bahrain,17.0,HARD,5.0,23.652866242038222,96.872
Bahrain,18.0,HARD,6.0,23.652866242038222,97.095
Bahrain,19.0,HARD,7.0,23.652866242038222,96.577
Bahrain,20.0,HARD,8.0,23.652866242038222,96.644
Bahrain,21.0,HARD,9.0,23.652866242038222,96.733
Bahrain,22.0,HARD,10.0,23.652866242038222,96.555
Bahrain,23.0,HARD,11.0,23.652866242038222,96.68
Bahrain,24.0,HARD,12.0,23.652866242038222,96.884
Bahrain,25.0,HARD,13.0,23.652866242038222,97.008
Bahrain,26.0,HARD,14.0,23.652866242038222,96.882
Bahrain,27.0,HARD,15.0,23.652866242038222,96.905
Bahrain,28.0,HARD,16.0,23.652866242038222,96.905
Bahrain,29.0,HARD,17.0,23.652866242038222,97.179
Bahrain,30.0,HARD,18.0,23.652866242038222,97.177
Bahrain,31.0,HARD,19.0,23.652866242038222,97.57
Bahrain,32.0,HARD,20.0,23.652866242038222,97.163
Bahrain,33.0,HARD,21.0,23.652866242038222,97.088
Bahrain,34.0,HARD,22.0,23.652866242038222,99.211
Bahrain,35.0,HARD,1.0,23.652866242038222,119.703
Bahrain,36.0,HARD,2.0,23.652866242038222,95.153
Bahrain,37.0,HARD,3.0,23.652866242038222,94.774
Bahrain,38.0,HARD,4.0,23.652866242038222,95.298
Bahrain,39.0,HARD,5.0,23.652866242038222,94.983
Bahrain,40.0,HARD,6.0,23.652866242038222,95.005
Bahrain,41.0,HARD,7.0,23.652866242038222,95.109
Bahrain,42.0,HARD,8.0,23.652866242038222,95.341
Bahrain,43.0,HARD,9.0,23.652866242038222,95.258
Bahrain,44.0,HARD,10.0,23.652866242038222,95.238
Bahrain,45.0,HARD,11.0,23.652866242038222,95.306
Bahrain,46.0,HARD,12.0,23.652866242038222,95.296
Bahrain,47.0,HARD,13.0,23.652866242038222,95.376
Bahrain,48.0,HARD,14.0,23.652866242038222,95.702
Bahrain,49.0,HARD,15.0,23.652866242038222,95.653
Bahrain,50.0,HARD,16.0,23.652866242038222,95.984
Bahrain,51.0,HARD,17.0,23.652866242038222,95.8
Bahrain,52.0,HARD,18.0,23.652866242038222,96.024
Bahrain,53.0,HARD,19.0,23.652866242038222,95.739
Bahrain,54.0,HARD,20.0,23.652866242038222,96.107
Bahrain,55.0,HARD,21.0,23.652866242038222,95.973
Bahrain,56.0,HARD,22.0,23.652866242038222,96.1
Bahrain,57.0,HARD,23.0,23.652866242038222,95.92
Bahrain,2.0,SOFT,5.0,23.652866242038222,98.02
Bahrain,3.0,SOFT,6.0,23.652866242038222,99.046
Bahrain,4.0,SOFT,7.0,23.652866242038222,97.776
Bahrain,5.0,SOFT,8.0,23.652866242038222,99.292
Bahrain,6.0,SOFT,9.0,23.652866242038222,98.053
Bahrain,7.0,SOFT,10.0,23.652866242038222,98.008
Bahrain,8.0,SOFT,11.0,23.652866242038222,98.103
Bahrain,9.0,SOFT,12.0,23.652866242038222,98.896
Bahrain,11.0,SOFT,14.0,23.652866242038222,98.554
Bahrain,12.0,SOFT,15.0,23.652866242038222,98.543
Bahrain,13.0,SOFT,16.0,23.652866242038222,98.587
Bahrain,14.0,SOFT,17.0,23.652866242038222,98.612
Bahrain,15.0,SOFT,18.0,23.652866242038222,101.101
Bahrain,16.0,HARD,1.0,23.652866242038222,118.814
Bahrain,17.0,HARD,2.0,23.652866242038222,96.97
Bahrain,18.0,HARD,3.0,23.652866242038222,97.361
Bahrain,19.0,HARD,4.0,23.652866242038222,97.072
