GrandPrix,Driver,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,RUS,21.0,HARD,10.0,23.652866242038222,96.769
Bahrain,RUS,22.0,HARD,11.0,23.652866242038222,96.992
Bahrain,RUS,23.0,HARD,12.0,23.652866242038222,96.954
Bahrain,RUS,24.0,HARD,13.0,23.652866242038222,96.736
Bahrain,RUS,25.0,HARD,14.0,23.652866242038222,96.928
Bahrain,RUS,26.0,HARD,15.0,23.652866242038222,96.801
Bahrain,RUS,27.0,HARD,16.0,23.652866242038222,96.815
Bahrain,RUS,28.0,HARD,17.0,23.652866242038222,96.911
Bahrain,RUS,29.0,HARD,18.0,23.652866242038222,97.066
Bahrain,RUS,30.0,HARD,19.0,23.652866242038222,97.186
Bahrain,RUS,31.0,HARD,20.0,23.652866242038222,99.405
Bahrain,RUS,32.0,HARD,1.0,23.652866242038222,117.267
Bahrain,RUS,33.0,HARD,2.0,23.652866242038222,95.838
Bahrain,RUS,34.0,HARD,3.0,23.652866242038222,95.241
Bahrain,RUS,35.0,HARD,4.0,23.652866242038222,95.772
Bahrain,RUS,36.0,HARD,5.0,23.652866242038222,95.434
Bahrain,RUS,37.0,HARD,6.0,23.652866242038222,95.481
Bahrain,RUS,38.0,HARD,7.0,23.652866242038222,95.479
Bahrain,RUS,39.0,HARD,8.0,23.652866242038222,95.204
Bahrain,RUS,40.0,HARD,9.0,23.652866242038222,95.065
Bahrain,RUS,41.0,HARD,10.0,23.652866242038222,95.093
Bahrain,RUS,42.0,HARD,11.0,23.652866242038222,95.136
Bahrain,RUS,43.0,HARD,12.0,23.652866242038222,95.193
Bahrain,RUS,44.0,HARD,13.0,23.652866242038222,95.162
Bahrain,RUS,45.0,HARD,14.0,23.652866242038222,95.276
Bahrain,RUS,46.0,HARD,15.0,23.652866242038222,96.657
Bahrain,RUS,47.0,HARD,16.0,23.652866242038222,95.805
Bahrain,RUS,48.0,HARD,17.0,23.652866242038222,96.059
Bahrain,RUS,49.0,HARD,18.0,23.652866242038222,95.954
Bahrain,RUS,50.0,HARD,19.0,23.652866242038222,96.181
Bahrain,RUS,51.0,HARD,20.0,23.652866242038222,95.852
Bahrain,RUS,52.0,HARD,21.0,23.652866242038222,96.186
Bahrain,RUS,53.0,HARD,22.0,23.652866242038222,95.979
Bahrain,RUS,54.0,HARD,23.0,23.652866242038222,96.013
Bahrain,RUS,55.0,HARD,24.0,23.652866242038222,96.151
Bahrain,RUS,56.0,HARD,25.0,23.652866242038222,96.35
Bahrain,RUS,57.0,HARD,26.0,23.652866242038222,96.44
Bahrain,NOR,2.0,SOFT,5.0,23.652866242038222,98.01
Bahrain,NOR,3.0,SOFT,6.0,23.652866242038222,97.787
Bahrain,NOR,4.0,SOFT,7.0,23.652866242038222,97.45
Bahrain,NOR,5.0,SOFT,8.0,23.652866242038222,97.794
Bahrain,NOR,6.0,SOFT,9.0,23.652866242038222,97.896
Bahrain,NOR,7.0,SOFT,10.0,23.652866242038222,97.86
Bahrain,NOR,8.0,SOFT,11.0,23.652866242038222,98.134
Bahrain,NOR,9.0,SOFT,12.0,23.652866242038222,98.064
Bahrain,NOR,11.0,SOFT,14.0,23.652866242038222,98.172
Bahrain,NOR,12.0,SOFT,15.0,23.652866242038222,98.082
Bahrain,NOR,13.0,SOFT,16.0,23.652866242038222,100.635
Bahrain,NOR,14.0,HARD,1.0,23.652866242038222,117.77
Bahrain,NOR,15.0,HARD,2.0,23.652866242038222,96.912
Bahrain,NOR,16.0,HARD,3.0,23.652866242038222,96.565
Bahrain,NOR,17.0,HARD,4.0,23.652866242038222,96.776
Bahrain,NOR,18.0,HARD,5.0,23.652866242038222,96.508
Bahrain,NOR,19.0,HARD,6.0,23.652866242038222,96.416
Bahrain,NOR,20.0,HARD,7.0,23.652866242038222,96.501
Bahrain,NOR,21.0,HARD,8.0,23.652866242038222,96.62
Bahrain,NOR,22.0,HARD,9.0,23.652866242038222,96.668
Bahrain,NOR,23.0,HARD,10.0,23.652866242038222,96.696
Bahrain,NOR,24.0,HARD,11.0,23.652866242038222,96.823
Bahrain,NOR,25.0,HARD,12.0,23.652866242038222,96.73
Bahrain,NOR,26.0,HARD,13.0,23.652866242038222,96.566
Bahrain,NOR,27.0,HARD,14.0,23.652866242038222,96.726
Bahrain,NOR,28.0,HARD,15.0,23.652866242038222,97.018
